region,region_code,period,pct_phys_any_ehr,pct_phys_basic_ehr,pct_phys_cert_ehr,pct_primary_care_phys_basic_ehr,pct_primary_care_phys_cert_ehr,pct_surg_med_spec_phys_cert_ehr,pct_rural_phys_basic_ehr,pct_small_practice_phys_basic_ehr,pct_small_practice_phys_cert_ehr,pct_phys_view_labs,pct_phys_send_lab_orders,pct_phys_graph_labs,pct_phys_e_share_provs,pct_phys_e_share_ambu_provs,pct_phys_e_share_hosps,pct_phys_send_receive_any_patient_info,pct_phys_e_share_patients,pct_phys_patient_secure_message,pct_phys_vdt,pct_phys_vd_and_t,pct_phys_patient_clinical_summary,pct_phys_find_clin_info,pct_phys_send_any_clin_info,pct_phys_send_summary_care_record,pct_phys_receive_any_clin_info,pct_phys_receive_summary_care_record,pct_phys_integrate_any_clin_info,pct_phys_integrate_summary_care_record
West Virginia,WV,2014,0.783,0.422,0.761,,0.804379541,0.709865172,,,0.713802436,,,,0.34038727,,,,,0.479404194,,,,,,,,,,
Wisconsin,WI,2014,0.919,0.735,0.825,,0.901061174,0.756519274,,,0.822807466,,,,0.653149138,,,,,0.682263815,,,,,,,,,,
Wyoming,WY,2014,0.901,0.491,0.768,,0.879304102,0.671928179,,,0.758149824,,,,0.310705071,,,,,0.53627187,,,,,,,,,,
Alabama,AL,2013,0.73,0.48,,0.5,,,0.54,0.4,,0.74,0.48,0.38,,,,,,0.38,,,0.56,,,,,,,
Alaska,AK,2013,0.79,0.5,,0.52,,,0.37,0.39,,0.75,0.67,0.46,,,,,,0.44,,,0.73,,,,,,,
Arizona,AZ,2013,0.88,0.51,,0.63,,,0.62,0.44,,0.8,0.51,0.53,,,,,,0.57,,,0.76,,,,,,,
Arkansas,AR,2013,0.79,0.46,,0.55,,,0.38,0.45,,0.77,0.57,0.53,,,,,,0.42,,,0.7,,,,,,,
California,CA,2013,0.8,0.54,,0.61,,,0.42,0.43,,0.74,0.55,0.5,,,,,,0.58,,,0.69,,,,,,,
Colorado,CO,2013,0.84,0.39,,0.44,,,0.34,0.32,,0.77,0.58,0.51,,,,,,0.46,,,0.69,,,,,,,
Connecticut,CT,2013,0.7,0.3,,0.38,,,0,0.3,,0.68,0.39,0.39,,,,,,0.33,,,0.52,,,,,,,
Delaware,DE,2013,0.8,0.47,,0.59,,,0,0.46,,0.78,0.37,0.41,,,,,,0.35,,,0.67,,,,,,,
District Of Columbia,DC,2013,0.81,0.31,,0.25,,,0,0.1,,0.71,0.59,0.42,,,,,,0.38,,,0.58,,,,,,,
Florida,FL,2013,0.77,0.47,,0.49,,,1,0.45,,0.77,0.53,0.48,,,,,,0.53,,,0.7,,,,,,,
Georgia,GA,2013,0.79,0.43,,0.49,,,0.67,0.4,,0.71,0.58,0.44,,,,,,0.44,,,0.67,,,,,,,
Hawaii,HI,2013,0.82,0.52,,0.62,,,0.39,0.41,,0.72,0.55,0.58,,,,,,0.51,,,0.75,,,,,,,
Idaho,ID,2013,0.73,0.42,,0.5,,,0.41,0.37,,0.68,0.43,0.44,,,,,,0.47,,,0.68,,,,,,,
Illinois,IL,2013,0.85,0.59,,0.5,,,0.29,0.48,,0.83,0.6,0.42,,,,,,0.58,,,0.78,,,,,,,
Indiana,IN,2013,0.82,0.54,,0.63,,,0.56,0.48,,0.82,0.54,0.5,,,,,,0.49,,,0.62,,,,,,,
Iowa,IA,2013,0.85,0.66,,0.71,,,0.71,0.55,,0.79,0.62,0.5,,,,,,0.42,,,0.75,,,,,,,
Kansas,KS,2013,0.83,0.53,,0.58,,,0.51,0.47,,0.8,0.56,0.5,,,,,,0.46,,,0.7,,,,,,,
